[08:51:18] ALERT: User Activity | conf=0.9826
[08:51:25] ALERT: Suspicious Packet | conf=1.0000
[08:51:28] ALERT: Suspicious Packet | conf=0.9966
[08:51:36] ALERT: User Activity | conf=0.9826
[08:51:40] ALERT: Suspicious Packet | conf=1.0000
[08:51:46] ALERT: Suspicious Packet | conf=1.0000
[08:51:50] ALERT: Suspicious Packet | conf=1.0000
[08:51:51] ALERT: Suspicious Packet | conf=0.7811
[08:51:58] ALERT: Suspicious Packet | conf=0.8908
[08:52:02] ALERT: Suspicious Packet | conf=1.0000
[09:08:41] ALERT: User Activity | conf=0.9826
[09:09:21] ALERT: Suspicious Packet | conf=1.0000
[09:09:23] ALERT: Suspicious Packet | conf=1.0000
[09:09:25] ALERT: Suspicious Packet | conf=1.0000
[09:12:55] ALERT: Suspicious Packet | conf=0.5280
[09:12:58] ALERT: Suspicious Packet | conf=0.9931
[09:13:06] ALERT: Suspicious Packet | conf=1.0000
[09:13:07] ALERT: Suspicious Packet | conf=0.9786
[09:13:14] ALERT: Suspicious Packet | conf=1.0000
[15:18:10] ALERT: Suspicious Packet | conf=0.8908
[15:18:11] ALERT: Suspicious Packet | conf=1.0000
[15:18:12] ALERT: Suspicious Packet | conf=0.9966
[15:18:14] ALERT: Suspicious Packet | conf=0.5280
[15:18:27] ALERT: Suspicious Packet | conf=1.0000
[15:18:29] ALERT: Suspicious Packet | conf=1.0000
[15:18:30] ALERT: Suspicious Packet | conf=1.0000
[15:18:37] ALERT: Suspicious Packet | conf=1.0000
[15:24:18] ALERT: Suspicious Packet | conf=1.0000
[15:24:24] ALERT: Suspicious Packet | conf=1.0000
[15:24:29] ALERT: Suspicious Packet | conf=1.0000
